names,SMILES,m,sigma,epsilon_k,mu,kappa_ab,epsilon_k_ab
"n,n-diethylaniline",CCN(CC)c1ccccc1,4.148487091,3.7437253,291.7760925,2.735735178,0,24.51292801
cyclopentanol,OC1CCCC1,3.269490719,3.441803694,268.3478699,0,0.004320028,2454.844482
fluorobenzene,Fc1ccccc1,2.950736523,3.515506983,257.1519165,2.217095375,0,0
"1,1-dimethoxyethane",COC(C)OC,2.782280922,3.641171932,251.6478577,0,0,0
trichloro(methyl)silane,C[Si](Cl)(Cl)Cl,2.807529688,3.712813854,245.2619019,2.221141338,0,0
dichloro-methylsilane,C[SiH](Cl)Cl,2.642146587,3.531653881,237.5525818,2.043031693,0,0
chloro(trimethyl)silane,C[Si](C)(C)Cl,2.852030754,3.778069258,236.9436798,2.176263332,0,0
1-methoxybutane,CCCCOC,2.963381767,3.718990088,240.0250549,2.33108449,0,0
"2,2,2-trichloroacetyl chloride",O=C(Cl)C(Cl)(Cl)Cl,3.345726252,3.553076267,260.3659058,2.424849987,0,17.57951164
"1,1,2,2-tetrachloroethane",ClC(Cl)C(Cl)Cl,3.308022022,3.559123993,283.370636,2.452573061,0,0
ethyl propanoate,CCOC(=O)CC,3.262372494,3.599418402,249.7140198,2.597988367,0,0
3-methylbutyl acetate,CC(=O)OCCC(C)C,3.70021534,3.776958466,257.8246155,2.9056077,0,0
butyl propanoate,CCCCOC(=O)CC,3.804288864,3.707499743,255.9411011,2.89512372,0,0
chloroethene,C=CCl,2.24197197,3.335443735,217.7485657,1.719968796,0,0
"1,1-dimethylhydrazine",CN(C)N,2.715174675,3.162742138,263.3855896,0,0.003759603,1144.021729
"1,2-dimethoxyethane",COCCOC,3.067609787,3.524895191,255.9697571,0,0,0
"1,1,1,2,2,3,3,4,4,5,5,5-dodecafluoropentane",FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3.608665466,3.820955515,187.4351654,0,0,0
2-chloro-2-methylpropane,CC(C)(C)Cl,2.72192812,3.689758301,240.0904999,2.135438681,0,0
"1,1,2-trichloro-1,2,2-trifluoroethane",FC(F)(Cl)C(F)(Cl)Cl,3.203901768,3.594022036,217.6427765,0,0,0
azepane,C1CCCNCC1,3.20769453,3.751545429,274.9129028,0,0.003078051,1685.60144
1-cyclopropylethanone,CC(=O)C1CC1,3.179677486,3.375514746,263.7793274,2.719448805,0,0
formaldehyde,C=O,2.093473196,2.832919121,226.3566895,1.53460145,0.00012108,20.61262131
n-methylformamide,CN=CO,3.603808403,2.935348749,309.9753418,0,0.00424702,2282.734375
"n,n-dimethylacetamide",CC(=O)N(C)C,3.627583742,3.289935827,284.4006042,2.64017868,0,15.93546772
prop-2-enenitrile,C=CC#N,2.821035147,3.19130373,252.6974792,2.60934782,0,0
prop-2-enal,C=CC=O,2.607965469,3.208694935,254.1269073,2.116913557,0,0
"propane-1,2,3-triol",OCC(O)CO,4.42138195,2.912616253,344.8478088,0,0.005523493,2457.909424
but-3-en-2-one,C=CC(C)=O,2.830529213,3.37775445,257.2183838,2.281882763,0,0
2-methylprop-2-enoic acid,C=C(C)C(=O)O,3.176551104,3.42808342,297.0358887,0,0.004323313,2268.373779
acetyl acetate,CC(=O)OC(C)=O,3.665802956,3.230092764,264.8497009,2.821226597,0,0
2-methylbut-3-en-2-ol,C=CC(C)(C)O,2.844525576,3.748562336,262.3631287,0,0.003737423,2020.685913
butanoic acid,CCCC(=O)O,3.286913872,3.463867664,295.211792,0,0.004130485,2250.327881
propane,CCC,1.979127526,3.642573118,209.3246765,0,0,0
propyl acetate,CCCOC(C)=O,3.270293474,3.610921144,250.6231537,2.633497238,0,0
hexadecanoic acid,CCCCCCCCCCCCCCCC(=O)O,5.417396545,4.064871311,311.7770996,0,0.003789441,3563.397461
butan-1-amine,CCCCN,2.915612698,3.620482445,249.8249359,0,0.002848017,1508.567627
cyclopentanone,O=C1CCCC1,3.363856316,3.331560612,269.5707703,2.622916698,0,0
(z)-octadec-9-enoic acid,CCCCCCCC/C=C\CCCCCCCC(=O)O,5.524753571,4.015161037,319.0050964,0,0.003842564,3567.867676
piperidine,C1CCNCC1,3.022093296,3.583673239,266.5122375,0,0.00306062,1547.530273
chloro(difluoro)methane,FC(F)Cl,2.275286674,3.240735054,190.8787231,1.605470181,0,0
dichloro(difluoro)methane,FC(F)(Cl)Cl,2.453496933,3.432806015,195.312851,0,0,0
"1,1,2,3,3,3-hexafluoroprop-1-ene",FC(F)=C(F)C(F)(F)F,2.768879175,3.485160351,176.5148926,1.337744117,0,0
"1,1,2,2,3,3,4,4-octafluorocyclobutane",FC1(F)C(F)(F)C(F)(F)C1(F)F,3.165760994,3.577657223,179.508667,0,0,0
methyl tetradecanoate,CCCCCCCCCCCCCC(=O)OC,5.664518356,4.104316711,288.8432312,3.611848831,0,0
phenylhydrazine,NNc1ccccc1,4.149273872,3.331749916,305.1662903,0,0.003304048,2316.97583
cyclohexanone,O=C1CCCCC1,3.670803547,3.408446789,270.6932983,2.856097221,0,0
azepan-2-one,OC1=NCCCCC1,4.212137222,3.43986702,317.5201416,0,0.004243325,2643.615967
cyclohexanol,OC1CCCCC1,3.480816364,3.54585886,271.2173462,0,0.00417418,2553.080811
methyl hexadecanoate,CCCCCCCCCCCCCCCC(=O)OC,5.905014992,4.192405224,297.574585,3.631700277,0,0
"2,4-dimethylpyridine",Cc1ccnc(C)c1,3.687708855,3.555186272,273.1651917,2.764424324,0,0
2-nitropropane,CC(C)[N+](=O)[O-],3.339460373,3.372176886,262.254425,2.662518501,0,0
pent-1-ene,C=CCCC,2.521062613,3.804733276,235.2058105,0,0,0
trichloro(ethenyl)silane,C=C[Si](Cl)(Cl)Cl,3.065588951,3.642460823,251.0198975,2.325846195,0,0
bromoform,BrC(Br)Br,3.263723612,3.358006477,290.503418,2.201149464,0,10.42755222
trimethyl borate,COB(OC)OC,2.902942181,3.653192043,248.5116882,0.105142802,0,0
methyl 2-methylprop-2-enoate,C=C(C)C(=O)OC,3.230574846,3.48058486,253.8753815,2.506398439,0,0
2-methylbut-2-ene,CC=C(C)C,2.628118277,3.78585577,237.1790924,0,0,0
2-methylbut-1-ene,C=C(C)CC,2.55696559,3.830456972,234.4374084,0,0,0
octadecanoic acid,CCCCCCCCCCCCCCCCCC(=O)O,5.582276344,4.099790573,318.7998047,0,0.003898727,3637.894775
3-methylbutan-1-ol,CC(C)CCO,3.232810974,3.627653599,259.2429504,0,0.004024712,2512.217773
hexanoic acid,CCCCCC(=O)O,3.918543816,3.630221128,287.9569397,0,0.003659691,2669.779541
octanoic acid,CCCCCCCC(=O)O,4.367388725,3.835133314,285.2383728,0,0.003413724,2965.147217
dichloro-ethenyl-methylsilane,C=C[Si](C)(Cl)Cl,3.104963779,3.589526653,252.3695068,2.496882439,0,0
2-chloroacetyl chloride,O=C(Cl)CCl,3.210130215,3.1943295,266.3100891,2.141158342,0,0
2-ethoxyethanol,CCOCCO,2.911706924,3.624191523,298.9000244,0,0.004369158,1645.45874
2-methylpropan-1-amine,CC(C)CN,2.844198227,3.650700569,252.0265045,0,0.00287212,1489.280762
furan-2-ylmethanol,OCc1ccco1,3.406300068,3.288224936,299.5128479,0,0.004165999,2146.701904
1-chlorooctane,CCCCCCCCCl,4.18723774,3.838800192,267.1790161,2.960262537,0,0
