main_group,main_group_id,subgroup,subgroup_id,R,Q,IL_R,IL_Q,bonds,atoms,smarts,contribute,composed
CH3SH,29,CH2SH,60,1.651,1.368,,,{'single': 1},"{'C': 1, 'S': 1, 'H': 3}",[SX2H][CX4;H2],"{""CH2SH"": 1, ""CH2"": -1}",n
FURFURAL,30,FURFURAL,61,3.168,2.484,,,"{'aromatic': 3, 'single': 3, 'double': 1}","{'C': 5, 'H': 4, 'O': 2}",c1cc(oc1)C=O,"{""FURFURAL"": 1, ""ACH"": -3, ""HCO"": -1, ""CH"": 1, ""AC"": -1}",n
DOH,31,DOH,62,2.4088,2.248,,,{'single': 3},"{'C': 2, 'H': 6, 'O': 2}",[OX2;H1][CX4;H2][CX4;H2][OX2;H1],"{""DOH"": 1, ""CH2"": -2, ""OH"": -2}",n
I,32,I,63,1.264,0.992,,,{'single': 1},{'I': 1},[I],"{""I"": 1}",n
BR,33,BR,64,0.9492,0.832,,,{'single': 1},{'Br': 1},[Br],"{""BR"": 1}",n
C=-C,34,CH=-C,65,1.292,1.088,,,{'triple ': 1},"{'C': 2, 'H': 1}",[CX2;H1]#[CX2;H0],"{""CH=-C"": 1}",n
C=-C,34,C=-C,66,1.0613,0.784,0.9214,1.3,{'triple ': 1},"{'C': 2, 'H': 0}",[CX2;H0]#[CX2;H0],"{""C=-C"": 1}",n
DMSO,35,DMSO,67,2.8266,2.472,,,"{'double': 1, 'single': 2}","{'C': 2, 'H': 6, 'O': 1, 'S': 1}",[SX3H0](=[OX1])([CX4;H3])[CX4;H3],"{""DMSO"": 1, ""CH3"": -1, ""CH3S"": -1}",n
ACRY,36,ACRY,68,2.3144,2.052,,,"{'double': 1, 'single': 1, 'triple ': 1}","{'C': 3, 'H': 3, 'N': 1}",[CX3;H2]=[CX3;H1][CX2;H0]#[NX1;H0],"{""ACRY"": 1, ""CH2=CH"": -1}",n
CLCC,37,CL-(C=C),69,0.791,0.724,,,{'single': 1},{'Cl': 1},[$([Cl;H0]([C]=[C]))],"{""CL-(C=C)"": 1}",n
C=C,2,C=C,70,0.6605,0.485,,,{'double': 1},{'C': 2},[CX3;H0]=[CX3;H0],"{""C=C"": 1}",n
ACF,38,ACF,71,0.6948,0.524,,,"{'aromatic': 1, 'single': 1}","{'C': 1, 'F': 1}",[cX3][F],"{""ACF"": 1, ""AC"": -1}",n
DMF,39,DMF,72,3.0856,2.736,,,"{'single': 3, 'double': 1}","{'C': 3, 'O': 1, 'N': 1, 'H': 7}",[CX4;H3][N]([CX4;H3])[CX3;H1]=[O],"{""DMF"": 1, ""CH3"": -2}",n
DMF,39,HCON(CH2)2,73,2.6322,2.12,,,"{'single': 3, 'double': 1}","{'C': 3, 'O': 1, 'N': 1, 'H': 5}",[NX3]([CX4;H2])([CX4;H2])[CX3;H1](=[OX1]),"{""HCON(CH2)2"": 1, ""CH2"": -2}",n
CF2,40,CF3,74,1.406,1.38,,,{'single': 3},"{'C': 1, 'F': 3}",C(F)(F)F,"{""CF3"": 1, ""C"": -1}",n
CF2,40,CF2,75,1.0105,0.92,,,{'single': 2},"{'C': 1, 'F': 2}",C(F)F,"{""CF2"": 1, ""C"": -1}",n
CF2,40,CF,76,0.615,0.46,,,{'single': 1},"{'C': 1, 'F': 1}",C(F),"{""CF"": 1, ""C"": -1}",n
COO,41,COO,77,1.38,1.2,,,"{'single': 1, 'double': 1}","{'C': 1, 'O': 2}","[CX3,cX3](=[OX1])[OX2,oX2]","{""COO"": 1}",n
SIH2,42,SIH3,78,1.6035,1.2632,,,{},"{'Si': 1, 'H': 3}","[SiX4,SiX3,SiX5;H3]","{""SIH3"": 1}",n
SIH2,42,SIH2,79,1.4443,1.0063,,,{},"{'Si': 1, 'H': 2}","[SiX4,SiX3,SiX5,SiX2;H2]","{""SIH2"": 1}",n
SIH2,42,SIH,80,1.2853,0.7494,,,{},"{'Si': 1, 'H': 1}","[SiX4,SiX3,SiX5,SiX2,SiX1;H1]","{""SIH"": 1}",n
SIH2,42,SI,81,1.047,0.4099,,,{},"{'Si': 1, 'H': 0}",[Si],"{""SI"": 1}",n
SIO,43,SIH2O,82,1.4838,1.0621,,,{'single': 1},"{'Si': 1, 'H': 2, 'O': 1}",[SiH2][O],"{""SIH2O"": 1, ""SIH2"": -1}",n
SIO,43,SIHO,83,1.303,0.7639,,,{'single': 1},"{'Si': 1, 'H': 1, 'O': 1}",[SiH1][O],"{""SIHO"": 1, ""SIH"": -1}",n
SIO,43,SIO,84,1.1044,0.4657,,,{'single': 1},"{'Si': 1, 'H': 0, 'O': 1}",[SiH0][O],"{""SIO"": 1, ""SI"": -1}",n
NMP,44,NMP,85,3.981,3.2,,,"{'single': 6, 'double': 1}","{'C': 5, 'H': 9, 'O': 1, 'N': 1}",[CX4;H3][NX3;H0]1[CX4;H2][CX4;H2][CX4;H2][CX3;H0]1=[OX1;H0],"{""NMP"": 1, ""CH2"": -2, ""AMCH3CH2"": -1}",n
CCLF,45,CCL3F,86,3.0356,2.644,,,{'single': 4},"{'C': 1, 'Cl': 3, 'F': 1}",[CX4;H0]([F])([Cl])([Cl])[Cl],"{""CCL3F"": 1, ""CCL3"": -1, ""CF"": -1, ""C"": 1}",n
CCLF,45,CCL2F,87,2.2287,1.916,,,{'single': 3},"{'C': 1, 'Cl': 2, 'F': 1}",C(F)(Cl)Cl,"{""CCL2F"": 1, ""CCL2"": -1, ""CF"": -1, ""C"": 1}",n
CCLF,45,HCCL2F,88,2.406,2.116,,,{'single': 3},"{'C': 1, 'H': 1, 'Cl': 2, 'F': 1}",ClC(Cl)F,"{""HCCL2F"": 1, ""CHCL2"": -1}",n
CCLF,45,HCCLF,89,1.6493,1.416,,,{'single': 2},"{'C': 1, 'H': 1, 'Cl': 1, 'F': 1}",C(Cl)F,"{""HCCLF"": 1, ""CHCL"": -1}",n
CCLF,45,CCLF2,90,1.8174,1.648,,,{'single': 3},"{'C': 1, 'Cl': 1, 'F': 2}",Cl[CX4;H0](F)(F),"{""CCLF2"": 1, ""CCL"": -1, ""CF2"": -1, ""C"": 1}",n
CCLF,45,HCCLF2,91,1.967,1.828,,,{'single': 3},"{'H': 1, 'C': 1, 'Cl': 1, 'F': 2}",Cl[CX4;H1](F)F,"{""HCCLF2"": 1, ""CHCL"": -1}",n
CCLF,45,CCLF3,92,2.1721,2.1,,,{'single': 4},"{'C': 1, 'Cl': 1, 'F': 3}",ClC(F)(F)F,"{""CCLF3"": 1, ""CCL"": -1, ""CF3"": -1, ""C"": 1}",n
CCLF,45,CCL2F2,93,2.6243,2.376,,,{'single': 4},"{'C': 1, 'Cl': 2, 'F': 2}",ClC(Cl)(F)F,"{""CCL2F2"": 1, ""CCL2"": -1, ""CF2"": -1, ""C"": 1}",n
CON(AM),46,AMH2,94,1.4515,1.248,,,"{'single': 1, 'double': 1}","{'C': 1, 'O': 1, 'N': 1, 'H': 2}",[CX3;H0](=[OX1])[NX3;H2],"{""AMH2"": 1}",n
CON(AM),46,AMHCH3,95,2.1905,1.796,,,"{'single': 2, 'double': 1}","{'C': 2, 'O': 1, 'N': 1, 'H': 4}",[CX3;H0](=[OX1])[NX3;H1][CX4;H3],"{""AMHCH3"": 1, ""CH3N"": -1}",n
CON(AM),46,AMHCH2,96,1.9637,1.488,,,"{'single': 2, 'double': 1}","{'C': 2, 'O': 1, 'N': 1, 'H': 3}",[CX3;H0](=[OX1])[NX3;H1][CX4;H2],"{""AMHCH2"": 1, ""CH2N"": -1}",n
CON(AM),46,AM(CH3)2,97,2.8589,2.428,,,"{'single': 3, 'double': 1}","{'C': 3, 'O': 1, 'N': 1, 'H': 6}",[CX3;H0](=[OX1])[NX3;H0]([CX4;H3])[CX4;H3],"{""AM(CH3)2"": 1, ""CH3N"": -2}",n
CON(AM),46,AMCH3CH2,98,2.6322,2.12,,,"{'single': 3, 'double': 1}","{'C': 3, 'O': 1, 'N': 1, 'H': 5}",[CX3;H0](=[OX1])[NX3;H0]([CX4;H3])[CX4;H2],"{""AMCH3CH2"": 1, ""CH3N"": -1, ""CH2N"": -1}",n
CON(AM),46,AM(CH2)2,99,2.4054,1.812,,,"{'single': 3, 'double': 1}","{'C': 3, 'O': 1, 'N': 1, 'H': 4}",[CX3;H0](=[OX1])[NX3;H0]([CX4;H2])[CX4;H2],"{""AM(CH2)2"": 1, ""CH2N"": -2}",n
